"Mês/Ano";"Abrangência";"Quantidade";"%";
"Maio - 2022";"AC";"578.282";"0,380"
"";"AL";"2.326.659";"1,528"
"";"AM";"2.562.043";"1,682"
"";"AP";"548.999";"0,360"
"";"BA";"10.619.758";"6,973"
"";"CE";"6.529.556";"4,287"
"";"DF";"2.204.086";"1,447"
"";"ES";"2.894.184";"1,900"
"";"GO";"4.870.325";"3,198"
"";"MA";"4.802.786";"3,153"
"";"MG";"15.851.391";"10,408"
"";"MS";"1.917.173";"1,259"
"";"MT";"2.388.155";"1,568"
"";"PA";"5.832.650";"3,830"
"";"PB";"3.091.089";"2,030"
"";"PE";"6.884.130";"4,520"
"";"PI";"2.560.896";"1,681"
"";"PR";"8.367.339";"5,494"
"";"RJ";"12.836.046";"8,428"
"";"RN";"2.553.940";"1,677"
"";"RO";"1.207.673";"0,793"
"";"RR";"366.355";"0,241"
"";"RS";"8.583.202";"5,636"
"";"SC";"5.385.534";"3,536"
"";"SE";"1.669.694";"1,096"
"";"SP";"33.110.361";"21,740"
"";"TO";"1.094.740";"0,719"
"";"ZZ";"666.663";"0,438"
"Mês/Ano Total:";"";"152.303.709";""
"Total Geral";"";"152.303.709";""
