ano_eleicao,nr_turno,nr_turno_str,codigo_uf,sg_uf,nm_uf,regiao,cand_partido_1,cand_partido_2,candidato_1,candidato_2,partido_1,partido_2,situacao_1,situacao_2,votos_1,votos_2,votos_total,perc_1,perc_2,diferenca_pp,diferenca_absoluta,qtd_elei_2022,perc_elei_2022,perc_elei_2022_opacity,qtd_elei_2022_str,perc_elei_2022_str
2002,2,2º turno,12,AC,Acre,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,140.363 votos,93.803 votos,234.166 votos,"59,94","40,06","+19,88 p.p.", +46.560 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2002,1,1º turno,12,AC,Acre,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,123.999 votos,50.250 votos,264.889 votos,"46,81","18,97","+27,84 p.p.", +73.749 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2006,1,1º turno,12,AC,Acre,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,133.221 votos,161.889 votos,312.606 votos,"42,62","51,79","-9,17 p.p.",-28.668 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2006,2,2º turno,12,AC,Acre,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,151.584 votos,137.911 votos,289.495 votos,"52,36","47,64","+4,72 p.p.", +13.673 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2010,2,2º turno,12,AC,Acre,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,96.969 votos,222.766 votos,319.735 votos,"30,33","69,67","-39,34 p.p.",-125.797 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2010,1,1º turno,12,AC,Acre,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,82.733 votos,180.252 votos,345.821 votos,"23,92","52,12","-28,2 p.p.",-97.519 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2014,2,2º turno,12,AC,Acre,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,138.982 votos,243.677 votos,382.659 votos,"36,32","63,68","-27,36 p.p.",-104.695 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2014,1,1º turno,12,AC,Acre,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,111.641 votos,116.109 votos,399.135 votos,"27,97","29,09","-1,12 p.p.",-4.468 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2018,1,1º turno,12,AC,Acre,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,78.170 votos,262.508 votos,421.778 votos,"18,53","62,24","-43,71 p.p.",-184.338 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2018,2,2º turno,12,AC,Acre,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,86.977 votos,294.899 votos,381.876 votos,"22,78","77,22","-54,44 p.p.",-207.922 votos,588.433,"0,38%",0.38,A UF tem 588.433 eleitores em 2022,"Isso equivale a 0,38% dos eleitores do Brasil"
2002,2,2º turno,27,AL,Alagoas,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,477.009 votos,616.902 votos,1.093.911 votos,"43,61","56,39","-12,78 p.p.",-139.893 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2002,1,1º turno,27,AL,Alagoas,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,307.751 votos,314.739 votos,1.076.186 votos,"28,6","29,25","-0,65 p.p.",-6.988 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2006,1,1º turno,27,AL,Alagoas,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,625.162 votos,506.722 votos,1.340.715 votos,"46,63","37,79","+8,84 p.p.", +118.440 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2006,2,2º turno,27,AL,Alagoas,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,822.505 votos,516.059 votos,1.338.564 votos,"61,45","38,55","+22,9 p.p.", +306.446 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2010,1,1º turno,27,AL,Alagoas,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,709.844 votos,508.232 votos,1.394.079 votos,"50,92","36,46","+14,46 p.p.", +201.612 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2010,2,2º turno,27,AL,Alagoas,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,737.236 votos,637.368 votos,1.374.604 votos,"53,63","46,37","+7,26 p.p.", +99.868 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2014,2,2º turno,27,AL,Alagoas,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,941.445 votos,574.322 votos,1.515.767 votos,"62,11","37,89","+24,22 p.p.", +367.123 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2014,1,1º turno,27,AL,Alagoas,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,703.809 votos,311.830 votos,1.409.536 votos,"49,93","22,12","+27,81 p.p.", +391.979 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2018,1,1º turno,27,AL,Alagoas,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,687.247 votos,528.355 votos,1.535.746 votos,"44,75","34,4","+10,35 p.p.", +158.892 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2018,2,2º turno,27,AL,Alagoas,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,912.034 votos,610.093 votos,1.522.127 votos,"59,92","40,08","+19,84 p.p.", +301.941 votos,2.325.656,"1,49%",1.49,A UF tem 2.325.656 eleitores em 2022,"Isso equivale a 1,49% dos eleitores do Brasil"
2002,1,1º turno,13,AM,Amazonas,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,530.246 votos,166.145 votos,1.111.042 votos,"47,73","14,95","+32,78 p.p.", +364.101 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
