aa_eleicao;nm_pais;nm_regiao;sg_uf;pc_eleitor_biometria;qt_eleitores_perfil;qt_eleitores_biometria;dt_carga
2022;Brasil;NORTE;AC;0,9056;588433;532868;2022-07-11 22:32:34
2022;Brasil;NORDESTE;AL;0,9351;2325656;2174696;2022-07-11 22:32:34
2022;Brasil;NORTE;AM;0,8884;2647748;2352330;2022-07-11 22:32:34
2022;Brasil;NORTE;AP;0,9172;550687;505106;2022-07-11 22:32:34
2022;Brasil;NORDESTE;BA;0,8823;11291528;9962524;2022-07-11 22:32:34
2022;Brasil;NORDESTE;CE;0,8957;6820673;6109479;2022-07-11 22:32:34
2022;Brasil;CENTRO-OESTE;DF;0,9258;2203045;2039636;2022-07-11 22:32:34
2022;Brasil;SUDESTE;ES;0,5431;2921506;1586553;2022-07-11 22:32:34
2022;Brasil;CENTRO-OESTE;GO;0,9264;4870354;4511885;2022-07-11 22:32:34
2022;Brasil;NORDESTE;MA;0,8732;5042999;4403760;2022-07-11 22:32:34
2022;Brasil;SUDESTE;MG;0,5142;16290870;8375985;2022-07-11 22:32:34
2022;Brasil;CENTRO-OESTE;MS;0,78;1996510;1557333;2022-07-11 22:32:34
2022;Brasil;CENTRO-OESTE;MT;0,7654;2469414;1890050;2022-07-11 22:32:34
2022;Brasil;NORTE;PA;0,8851;6082312;5383420;2022-07-11 22:32:34
2022;Brasil;NORDESTE;PB;0,9363;3091684;2894645;2022-07-11 22:32:34
2022;Brasil;NORDESTE;PE;0,8007;7018098;5619170;2022-07-11 22:32:34
2022;Brasil;NORDESTE;PI;0,9346;2573810;2405391;2022-07-11 22:32:34
2022;Brasil;SUL;PR;0,9242;8475632;7833180;2022-07-11 22:32:34
2022;Brasil;SUDESTE;RJ;0,5664;12827296;7265152;2022-07-11 22:32:34
2022;Brasil;NORDESTE;RN;0,9328;2554727;2383125;2022-07-11 22:32:34
2022;Brasil;NORTE;RO;0,9156;1230987;1127153;2022-07-11 22:32:34
2022;Brasil;NORTE;RR;0,9126;366240;334236;2022-07-11 22:32:34
2022;Brasil;SUL;RS;0,7772;8593469;6678771;2022-07-11 22:32:34
2022;Brasil;SUL;SC;0,7716;5489658;4235900;2022-07-11 22:32:34
2022;Brasil;NORDESTE;SE;0,9406;1671801;1572447;2022-07-11 22:32:34
2022;Brasil;SUDESTE;SP;0,6713;34667793;23271151;2022-07-11 22:32:34
2022;Brasil;NORTE;TO;0,929;1094003;1016368;2022-07-11 22:32:34
2022;Exterior;EXTERIOR;ZZ;0,1859;697078;129612;2022-07-11 22:32:34
